dateff,mktrf,smb,hml,rf,umd
20000531,-0.044200,-0.061100,0.048300,0.00500,-0.089800
20000630,0.046400,0.128000,-0.084100,0.00400,0.166100
20000731,-0.025100,-0.030800,0.083300,0.00480,-0.001000
20000831,0.070300,-0.006300,-0.013700,0.00500,0.057300
20000929,-0.054500,-0.017300,0.071700,0.00510,0.019700
20001031,-0.027600,-0.039300,0.056400,0.00560,-0.044800
20001130,-0.107200,-0.033900,0.123400,0.00510,-0.023200
20001229,0.011900,0.007300,0.076000,0.00500,0.067400
20010131,0.031300,0.066800,-0.051100,0.00540,-0.253000
20010228,-0.100500,-0.007400,0.124800,0.00380,0.125700
20010330,-0.072600,0.002700,0.064300,0.00420,0.085500
20010430,0.079400,0.005600,-0.047000,0.00390,-0.079000
20010531,0.007200,0.025000,0.033600,0.00320,0.022100
20010629,-0.019400,0.062700,-0.011300,0.00280,0.003800
20010731,-0.021300,-0.041900,0.052100,0.00300,0.055800
20010831,-0.064600,0.024800,0.023000,0.00310,0.055300
20010928,-0.092500,-0.062500,0.014600,0.00280,0.114800
20011031,0.024600,0.074900,-0.076600,0.00220,-0.084700
20011130,0.075400,-0.004700,0.022200,0.00170,-0.086900
20011231,0.016000,0.047300,0.008500,0.00150,0.000700
20020131,-0.014400,0.011900,0.034400,0.00140,0.037500
20020228,-0.022900,-0.010000,0.021600,0.00130,0.068200
20020328,0.042400,0.042100,0.010700,0.00130,-0.016400
20020430,-0.052000,0.059600,0.038800,0.00150,0.076300
20020531,-0.013800,-0.032100,0.015300,0.00140,0.031600
20020628,-0.072100,0.042800,-0.000300,0.00130,0.060300
20020731,-0.081800,-0.052600,-0.038600,0.00150,0.037400
20020830,0.005000,-0.028700,0.033100,0.00140,0.019000
20020930,-0.103500,0.024300,0.014400,0.00140,0.091300
20021031,0.078400,-0.034100,-0.039500,0.00140,-0.055800
20021129,0.059600,0.032300,-0.012700,0.00120,-0.163300
20021231,-0.057600,0.001100,0.021300,0.00110,0.096400
20030131,-0.025700,0.013000,-0.007300,0.00100,0.015500
20030228,-0.018800,-0.004600,-0.013800,0.00090,0.011700
20030331,0.010900,0.010400,-0.019300,0.00100,0.014800
20030430,0.082200,0.006700,0.011700,0.00100,-0.093300
20030530,0.060500,0.047100,0.005300,0.00090,-0.107000
20030630,0.014200,0.017400,0.001900,0.00100,-0.010000
20030731,0.023500,0.051100,-0.011900,0.00070,-0.003200
20030829,0.023400,0.026200,0.015400,0.00070,-0.006200
20030930,-0.012400,0.008000,0.001000,0.00080,-0.001900
20031031,0.060800,0.026300,0.019200,0.00070,0.039900
20031128,0.013500,0.020000,0.018100,0.00070,0.014600
20031231,0.042900,-0.027100,0.016000,0.00080,-0.055700
20040130,0.021500,0.025400,0.024600,0.00070,0.025800
20040227,0.014000,-0.015200,0.008700,0.00060,-0.011400
20040331,-0.013200,0.017500,0.002300,0.00090,0.001700
20040430,-0.018300,-0.017400,-0.030200,0.00080,-0.053800
20040528,0.011700,-0.002500,-0.002300,0.00060,0.015000
20040630,0.018600,0.022800,0.012300,0.00080,0.020500
20040730,-0.040600,-0.038000,0.032200,0.00100,-0.022800
20040831,0.000800,-0.014900,0.010000,0.00110,-0.015900
20040930,0.016000,0.030200,-0.000200,0.00110,0.054900
20041029,0.014300,0.001500,-0.002500,0.00110,-0.013800
20041130,0.045400,0.037300,0.014500,0.00150,0.031600
20041231,0.034300,-0.000300,-0.002100,0.00160,-0.028700
20050131,-0.027600,-0.017200,0.020700,0.00160,0.030500
20050228,0.018900,-0.005700,0.015400,0.00160,0.033700
20050331,-0.019700,-0.014000,0.020500,0.00210,0.004100
20050429,-0.026100,-0.039300,0.000500,0.00210,-0.006900
20050531,0.036500,0.028800,-0.005900,0.00240,0.004500
20050630,0.005700,0.025900,0.028100,0.00230,0.020500
20050729,0.039200,0.029000,-0.007800,0.00240,0.000600
20050831,-0.012200,-0.009800,0.013400,0.00300,0.020800
20050930,0.004900,-0.006700,0.006900,0.00290,0.034300
20051031,-0.020200,-0.012300,0.004100,0.00270,-0.013900
20051130,0.036100,0.009900,-0.012000,0.00310,0.003500
20051230,-0.002500,-0.004100,0.002200,0.00320,0.007700
20060131,0.030400,0.054200,0.010900,0.00350,0.025300
20060228,-0.003000,-0.004000,-0.003700,0.00340,-0.018400
20060331,0.014600,0.034500,0.005500,0.00370,0.012600
20060428,0.007300,-0.014300,0.023400,0.00360,0.006100
20060531,-0.035700,-0.029800,0.023900,0.00430,-0.037000
20060630,-0.003500,-0.003800,0.008000,0.00400,0.015400
20060731,-0.007800,-0.039900,0.026200,0.00400,-0.021300
20060831,0.020300,0.010100,-0.020400,0.00420,-0.033800
20060929,0.018400,-0.013400,0.000600,0.00410,-0.009600
20061031,0.032300,0.017200,-0.002600,0.00410,-0.002000
20061130,0.017100,0.007200,0.001100,0.00420,-0.010300
20061229,0.008700,-0.011300,0.027100,0.00400,0.007900
20070131,0.014000,0.001400,-0.007000,0.00440,0.002400
20070228,-0.019600,0.011800,-0.001200,0.00380,-0.013500
20070330,0.006800,0.001500,-0.009400,0.00430,0.025600
20070430,0.034900,-0.021700,-0.014300,0.00440,-0.002400
20070531,0.032400,0.002300,-0.006200,0.00410,-0.003400
20070629,-0.019600,0.007600,-0.010700,0.00400,0.005100
20070731,-0.037300,-0.026100,-0.037300,0.00400,0.029400
20070831,0.009200,-0.001400,-0.018900,0.00420,0.001000
20070928,0.032200,-0.022200,-0.022300,0.00320,0.046300
20071031,0.018000,0.001200,-0.031100,0.00320,0.050200
20071130,-0.048300,-0.029300,-0.009400,0.00340,0.009900
20071231,-0.008700,0.001600,-0.005200,0.00270,0.066300
20080131,-0.063600,-0.009800,0.040100,0.00210,-0.077500
20080229,-0.030900,-0.004100,-0.008400,0.00130,0.061000
20080331,-0.009300,0.007700,0.003500,0.00170,0.042700
20080430,0.046000,-0.017200,-0.010900,0.00180,-0.003100
20080530,0.018600,0.029500,-0.015300,0.00180,0.033100
20080630,-0.084400,0.012400,-0.027000,0.00170,0.127500
20080731,-0.007700,0.025600,0.052700,0.00150,-0.050700
20080829,0.015300,0.035000,0.014800,0.00130,-0.040200
20080930,-0.092400,-0.012400,0.059000,0.00150,0.002800
20081031,-0.172300,-0.025200,-0.022200,0.00080,0.078500
20081128,-0.078600,-0.028700,-0.063000,0.00030,0.071700
20081231,0.017400,0.034900,0.000700,0.00000,-0.050900
20090130,-0.081200,0.001800,-0.111100,0.00000,-0.021800
20090227,-0.101000,0.001300,-0.069100,0.00010,0.044100
20090331,0.089500,0.000000,0.033400,0.00020,-0.118700
20090430,0.101800,0.052800,0.052600,0.00010,-0.343000
20090529,0.052100,-0.025200,0.003700,0.00000,-0.124900
20090630,0.004300,0.026600,-0.027200,0.00010,0.054800
20090731,0.077200,0.018700,0.048400,0.00010,-0.055800
